"","employees","salaries2017","adjustments","salaries_2018","salaries2018","raise"
"1","Employee 1",48376.302504912,1809.61753590964,50185.9200408217,50185.9200408217,TRUE
"2","Employee 2",42572.8004844859,-3760.62174793333,38812.1787365526,38812.1787365526,FALSE
"3","Employee 3",47243.560529314,6494.25899959169,53737.8195289057,53737.8195289057,TRUE
"4","Employee 4",42023.323350586,-1130.88216166943,40892.4411889166,40892.4411889166,FALSE
"5","Employee 5",45172.6244622841,9392.75519223884,54565.379654523,54565.379654523,TRUE
"6","Employee 6",47528.1957769766,-2713.11384043656,44815.0819365401,44815.0819365401,FALSE
"7","Employee 7",44964.8740864359,2990.93496985734,47955.8090562932,47955.8090562932,TRUE
"8","Employee 8",49967.1934288926,1829.45130509324,51796.6447339859,51796.6447339859,TRUE
"9","Employee 9",41265.3570738621,-2529.33382056653,38736.0232532956,38736.0232532956,FALSE
"10","Employee 10",46305.7142752223,5477.36322740093,51783.0775026232,51783.0775026232,TRUE
"11","Employee 11",40024.5023518801,6574.05692152679,46598.5592734069,46598.5592734069,TRUE
"12","Employee 12",42616.2283401936,1774.19075858779,44390.4190987814,44390.4190987814,TRUE
"13","Employee 13",46638.2790892385,9630.89306955226,56269.1721587908,56269.1721587908,TRUE
"14","Employee 14",49977.6910431683,-375.991208711639,49601.6998344567,49601.6998344567,FALSE
"15","Employee 15",42153.3007733524,-3045.93663662672,39107.3641367257,39107.3641367257,FALSE
"16","Employee 16",48254.3524098583,-3937.99108220264,44316.3613276556,44316.3613276556,FALSE
"17","Employee 17",49529.1711064056,9091.60591429099,58620.7770206966,58620.7770206966,TRUE
"18","Employee 18",45378.7457500584,3718.10893877409,49096.8546888325,49096.8546888325,TRUE
"19","Employee 19",46690.8498317935,2393.10673787259,49083.956569666,49083.956569666,TRUE
"20","Employee 20",41191.7281989008,-2438.57674184255,38753.1514570583,38753.1514570583,FALSE
"21","Employee 21",46327.307424508,6739.51776465401,53066.825189162,53066.825189162,TRUE
"22","Employee 22",40459.5512803644,-1155.58464312926,39303.9666372351,39303.9666372351,FALSE
"23","Employee 23",48294.4336021319,-1342.36861136742,46952.0649907645,46952.0649907645,FALSE
"24","Employee 24",40200.187608134,-377.462669275701,39822.7249388583,39822.7249388583,FALSE
"25","Employee 25",46569.6912049316,8401.92681411281,54971.6180190444,54971.6180190444,TRUE
"26","Employee 26",48401.5925158747,-1129.26528207026,47272.3272338044,47272.3272338044,FALSE
"27","Employee 27",47712.0729302987,7798.54193213396,55510.6148624327,55510.6148624327,TRUE
"28","Employee 28",47071.9895721413,-745.869728270918,46326.1198438704,46326.1198438704,FALSE
"29","Employee 29",48748.5742010176,-614.358875900507,48134.2153251171,48134.2153251171,FALSE
